ID	X	Y	slope
350	65.9375	39.8125	0.011789
351	66.0625	39.8125	0.008538
352	66.1875	39.8125	0.002763
353	66.3125	39.8125	0.004011
354	66.4375	39.8125	0.005746
355	66.5625	39.8125	0.006027
356	66.6875	39.8125	0.007590
357	66.8125	39.8125	0.007814
358	66.9375	39.8125	0.006256
359	67.0625	39.8125	0.004251
360	67.1875	39.8125	0.004393
361	67.3125	39.8125	0.005609
362	67.4375	39.8125	0.016356
363	67.5625	39.8125	0.037297
364	67.6875	39.8125	0.035255
365	71.6875	39.8125	0.012661
366	71.8125	39.8125	0.028258
367	72.5625	39.8125	0.046446
368	72.6875	39.8125	0.042050
369	72.8125	39.8125	0.033407
370	72.9375	39.8125	0.025537
371	73.0625	39.8125	0.017156
372	73.1875	39.8125	0.005904
373	73.3125	39.8125	0.009822
374	73.4375	39.8125	0.021759
375	73.5625	39.8125	0.014555
376	73.6875	39.8125	0.016110
377	62.1875	39.6875	0.001168
378	62.3125	39.6875	0.000472
379	62.4375	39.6875	0.000325
380	62.5625	39.6875	0.000349
381	62.6875	39.6875	0.000277
382	62.8125	39.6875	0.000171
383	62.9375	39.6875	0.000328
384	63.0625	39.6875	0.000540
385	63.1875	39.6875	0.000263
386	63.3125	39.6875	0.000126
387	63.4375	39.6875	0.000119
388	63.5625	39.6875	0.000425
389	63.6875	39.6875	0.000605
390	63.8125	39.6875	0.000443
391	63.9375	39.6875	0.000304
392	64.0625	39.6875	0.000279
393	64.1875	39.6875	0.000347
394	64.3125	39.6875	0.000580
395	64.4375	39.6875	0.000650
396	64.5625	39.6875	0.000906
397	64.6875	39.6875	0.001397
398	64.8125	39.6875	0.001883
399	64.9375	39.6875	0.001603
400	65.0625	39.6875	0.000071
401	65.1875	39.6875	0.000165
402	65.3125	39.6875	0.001224
403	65.4375	39.6875	0.002693
404	65.5625	39.6875	0.005007
405	65.6875	39.6875	0.007196
406	65.8125	39.6875	0.008970
407	65.9375	39.6875	0.009267
408	66.0625	39.6875	0.006790
409	66.1875	39.6875	0.003797
410	66.3125	39.6875	0.007587
411	66.4375	39.6875	0.015242
412	66.5625	39.6875	0.021042
413	66.6875	39.6875	0.026784
414	66.8125	39.6875	0.027692
415	66.9375	39.6875	0.022216
416	67.0625	39.6875	0.011823
417	67.1875	39.6875	0.007067
418	67.3125	39.6875	0.010780
419	67.4375	39.6875	0.022126
420	67.5625	39.6875	0.029141
421	67.6875	39.6875	0.023136
422	67.8125	39.6875	0.022586
423	67.9375	39.6875	0.019261
424	71.5625	39.6875	0.031215
425	71.6875	39.6875	0.045575
426	71.8125	39.6875	0.038844
427	71.9375	39.6875	0.027954
428	72.0625	39.6875	0.018281
429	72.1875	39.6875	0.016081
430	72.3125	39.6875	0.012680
431	72.4375	39.6875	0.006962
432	72.5625	39.6875	0.010713
433	72.6875	39.6875	0.023119
434	72.8125	39.6875	0.037276
435	72.9375	39.6875	0.046019
436	73.0625	39.6875	0.045235
437	73.1875	39.6875	0.039104
438	73.3125	39.6875	0.043831
439	73.4375	39.6875	0.054941
440	73.5625	39.6875	0.051108
441	73.6875	39.6875	0.046035
442	62.3125	39.5625	0.000186
443	62.4375	39.5625	0.000390
444	62.5625	39.5625	0.000320
445	62.6875	39.5625	0.000138
446	62.8125	39.5625	0.000230
447	62.9375	39.5625	0.000416
448	63.0625	39.5625	0.000632
449	63.1875	39.5625	0.000095
450	63.3125	39.5625	0.000013
451	63.4375	39.5625	0.000213
452	63.5625	39.5625	0.000238
453	63.6875	39.5625	0.000269
454	63.8125	39.5625	0.000391
455	63.9375	39.5625	0.000693
456	64.0625	39.5625	0.001027
457	64.1875	39.5625	0.001038
458	64.3125	39.5625	0.000934
459	64.4375	39.5625	0.000927
460	64.5625	39.5625	0.000915
461	64.6875	39.5625	0.001127
462	64.8125	39.5625	0.001476
463	64.9375	39.5625	0.001295
464	65.0625	39.5625	0.000518
465	65.1875	39.5625	0.000554
466	65.3125	39.5625	0.001086
467	65.4375	39.5625	0.001212
468	65.5625	39.5625	0.001881
469	65.6875	39.5625	0.002521
