ID	X	Y	dem
141	62.4375	40.5625	167
142	62.5625	40.5625	171
143	62.6875	40.5625	174
144	62.0625	40.4375	161
145	62.1875	40.4375	149
146	62.3125	40.4375	149
147	62.4375	40.4375	165
148	62.5625	40.4375	171
149	62.6875	40.4375	175
150	62.8125	40.4375	176
151	62.9375	40.4375	176
152	63.0625	40.4375	176
153	65.3125	40.4375	560
154	65.4375	40.4375	574
155	65.5625	40.4375	626
156	65.8125	40.4375	998
157	65.9375	40.4375	1058
158	66.0625	40.4375	868
159	66.4375	40.4375	1078
160	66.5625	40.4375	1377
161	66.6875	40.4375	1497
162	66.8125	40.4375	1354
163	66.9375	40.4375	1284
164	67.0625	40.4375	814
165	62.0625	40.3125	165
166	62.1875	40.3125	166
167	62.3125	40.3125	157
168	62.4375	40.3125	161
169	62.5625	40.3125	172
170	62.6875	40.3125	176
171	62.8125	40.3125	176
172	62.9375	40.3125	176
173	63.0625	40.3125	176
174	63.1875	40.3125	178
175	63.3125	40.3125	180
176	63.4375	40.3125	184
177	63.5625	40.3125	186
178	63.6875	40.3125	187
179	65.1875	40.3125	355
180	65.3125	40.3125	404
181	65.4375	40.3125	516
182	65.5625	40.3125	699
183	65.6875	40.3125	848
184	65.8125	40.3125	921
185	65.9375	40.3125	946
186	66.0625	40.3125	956
187	66.1875	40.3125	1000
188	66.3125	40.3125	1090
189	66.4375	40.3125	1067
190	66.5625	40.3125	929
191	66.6875	40.3125	892
192	66.8125	40.3125	884
193	66.9375	40.3125	901
194	67.0625	40.3125	974
195	67.1875	40.3125	1117
196	67.3125	40.3125	1155
197	67.4375	40.3125	776
198	62.1875	40.1875	175
199	62.3125	40.1875	176
200	62.4375	40.1875	162
201	62.5625	40.1875	174
202	62.6875	40.1875	176
203	62.8125	40.1875	175
204	62.9375	40.1875	176
205	63.0625	40.1875	176
206	63.1875	40.1875	177
207	63.3125	40.1875	179
208	63.4375	40.1875	183
209	63.5625	40.1875	188
